date,ticker,weight
2022-05-31,HPG,0.2788026158798592
2022-05-31,VIC,0.40759767160772087
2022-05-31,VNM,0.3135997125124199
2022-06-30,HPG,0.19058271170880609
2022-06-30,VIC,0.45959646664249937
2022-06-30,VNM,0.34982082164869444
2022-07-29,HPG,0.20587392805141919
2022-07-29,VIC,0.41903315955105724
2022-07-29,VNM,0.3750929123975235
2022-08-31,HPG,0.20068451925465744
2022-08-31,VIC,0.39965774037267127
2022-08-31,VNM,0.39965774037267127
2022-09-30,HPG,0.2988370018518328
2022-09-30,VIC,0.3296588211857753
2022-09-30,VNM,0.371504176962392
2022-10-31,HPG,0.25892909880724574
2022-10-31,VIC,0.36529429991844276
2022-10-31,VNM,0.37577660127431156
2022-11-30,HPG,0.24325636984683974
2022-11-30,VIC,0.3540950000314549
2022-11-30,VNM,0.4026486301217054
2022-12-30,HPG,0.24257328053162067
2022-12-30,VIC,0.3451038561310992
2022-12-30,VNM,0.4123228633372801
