date,ticker,price,avg_daily_volume,ret_1m,fwd_ret_1m,mom_3m,vol_60d
2022-08-31,VNM,75.5,571686556.5217391,0.03708791208791218,-0.042384105960264984,-0.018867924528301994,0.019425602165130645
2022-09-30,HPG,21.2,9302203960.0,-0.07826086956521738,-0.2617924528301886,-0.33717579250720464,0.01909742625932759
2022-09-30,VIC,55.0,121538685.0,-0.13657770800627944,0.0072727272727273196,-0.19162436548223338,0.01731189108150025
2022-09-30,VNM,72.3,294803540.0,-0.042384105960264984,0.08575380359612739,0.05299860529986056,0.013181863263816344
2022-10-31,HPG,15.65,18573847076.190475,-0.2617924528301886,0.17571884984025554,-0.04932735426008972,0.02760196712391857
2022-10-31,VIC,55.4,152946314.2857143,0.0072727272727273196,0.2563176895306858,-0.2517006802721088,0.019564916491440293
2022-10-31,VNM,78.5,324866938.0952381,0.08575380359612739,0.054777070063694255,0.0013850415512464131,0.015902470584978397
2022-11-30,HPG,18.4,46207811954.545456,0.17571884984025554,-0.021739130434782483,-0.27209302325581397,0.039371494208391214
2022-11-30,VIC,69.6,305074045.45454544,0.2563176895306858,-0.2270114942528736,-0.13437500000000002,0.027047449853085666
2022-11-30,VNM,82.8,547057118.1818181,0.054777070063694255,-0.08091787439613529,0.07829670329670324,0.01731663230008129
2022-12-30,HPG,18.0,34703311504.545456,-0.021739130434782483,0.22777777777777786,-0.20000000000000007,0.04253223548196842
2022-12-30,VIC,53.8,721114281.8181819,-0.2270114942528736,0.06133828996282542,0.09262166405023531,0.02989588121346624
2022-12-30,VNM,76.1,492763300.0,-0.08091787439613529,0.013140604467805517,0.09668874172185427,0.017475254609797958
2023-01-31,HPG,22.1,16635701656.25,0.22777777777777786,-0.09502262443438925,-0.15094339622641506,0.03930644510952773
2023-01-31,VIC,57.1,223558406.25,0.06133828996282542,-0.07880910683012254,-0.021818181818181848,0.0296229390664122
2023-01-31,VNM,77.1,277354143.75,0.013140604467805517,-0.02075226977950706,0.052558782849239316,0.01668465772802279
2023-02-28,HPG,20.0,17709481305.0,-0.09502262443438925,0.040000000000000036,0.41214057507987234,0.03329557807775176
2023-02-28,VIC,52.6,236218090.0,-0.07880910683012254,0.04562737642585546,0.03068592057761732,0.02417921731731852
2023-02-28,VNM,75.5,209375695.0,-0.02075226977950706,-0.014569536423840956,-0.017834394904458706,0.014176916728911991
2023-03-31,HPG,20.8,9368247160.869566,0.040000000000000036,0.04086538461538458,0.0869565217391306,0.025479876655210624
