date,gross_ret,turnover,cost,net_ret,n_positions,equity
2023-01-31,-0.058904375390474974,0.5,0.00075,-0.059654375390474974,3,0.940345624609525
2023-02-28,0.019531875667851594,0.007031520973632396,1.0547281460448595e-05,0.019521328386391146,3,0.9587024203442336
2023-03-31,-0.03423290741419073,0.04629769827376916,6.944654741065374e-05,-0.03430235396160138,3,0.9258166705777418
2023-04-28,-0.02698713633633366,0.0036296140691815387,5.4444211037723085e-06,-0.026992580757437434,3,0.9008264893305903
2023-05-31,0.09265304417981207,0.07238364648152791,0.00010857546972229187,0.09254446871008978,3,0.9841929981856652
2023-06-30,0.08634658207690618,0.02623957704970009,3.935936557455014e-05,0.08630722271133164,3,1.0691359624710086
2023-07-31,0.029871281819195693,0.04205843505716711,6.308765258575067e-05,0.029808194166609944,3,1.10100497483085
2023-08-31,-0.09444413311786294,0.05806564326443428,8.709846489665142e-05,-0.0945312315827596,3,0.9969256185813444
2023-09-29,-0.11109107515741146,0.019555097207350963,2.9332645811026445e-05,-0.11112040780322248,3,0.8861468372951056
2023-10-31,0.05864359730586671,0.030659579295194,4.5989368942791e-05,0.05859760793692392,3,0.9380729222414693
2023-11-30,0.03725023696164916,0.03343342833895632,5.015014250843448e-05,0.03720008681914073,3,0.9729693163915369
2023-12-29,0.0,0.0,0.0,0.0,0,0.9729693163915369
